,day,data_temperature_mean,data_temperature_std,data_humidity_mean,data_humidity_std,data_pm2_5_mean,data_pm2_5_std,data_pm2_5_min,data_pm2_5_max,data_voc_mean,data_voc_std,data_voc_min,data_voc_max,data_co2_mean,data_co2_std,data_co2_min,Target
3805,0,31.515,0.055407581,65.92,0.78263657,116.6666667,5.125101627,112,123,6.118833333,1.674954019,4.221,8.177,883.6666667,98.67860288,738,Boil(Pressure Cooker)
3806,0,31.545,0.048476799,65.71833333,0.685081504,116.1666667,4.490731198,112,123,5.8045,1.35853697,4.221,7.592,885.3333333,100.9329811,738,Boil(Pressure Cooker)
3807,0,31.56833333,0.037638633,65.435,0.365882495,115.8333333,3.920034016,112,121,5.606166667,1.109409468,4.221,6.739,887.8333333,104.091146,738,Boil(Pressure Cooker)
3808,0,31.585,0.03391165,65.23333333,0.683686088,117.1666667,3.710345899,112,121,5.371833333,0.96081037,4.221,6.402,913.1666667,104.8187324,738,Boil(Pressure Cooker)
3809,0,31.59666667,0.031411251,65.26166667,0.673035413,119.1666667,3.60092581,114,124,5.2295,1.194673303,3.398,6.402,914.6666667,101.8325423,747,Boil(Pressure Cooker)
3810,0,31.61333333,0.019663842,65.28833333,0.707570962,121.6666667,4.412104565,116,129,5.247333333,1.177280199,3.398,6.402,929,96.66229875,747,Boil(Pressure Cooker)
3811,0,31.885,0.102907726,68.33,1.572539348,157.8333333,2.857738037,155,163,4.699,2.162982848,2.816,8.662,893.8333333,260.3239648,680,Boil
3812,0,31.94333333,0.152665211,68.72666667,2.046476647,157.5,2.810693868,155,163,5.617833333,2.777631899,2.816,9.292,994.3333333,316.5278292,680,Boil
3813,0,32.02,0.194216374,69.925,2.472365264,158.3333333,3.32665999,155,163,6.729,3.005028053,2.816,10,1137.666667,339.5966235,698,Boil
3814,0,32.10666667,0.197754056,70.99166667,2.158160482,159.3333333,3.723797348,155,163,7.926333333,2.527338416,3.963,10,1278,292.2444183,791,Boil
3815,0,32.195,0.171435119,71.67666667,1.773850802,159.3333333,3.723797348,155,163,8.9325,1.700297121,5.641,10,1393.166667,174.2990725,1081,Boil
3816,0,32.27333333,0.120443624,72.66166667,1.480235342,161.1666667,4.400757513,155,167,9.659,0.564592242,8.662,10,1460,84.31369995,1336,Boil
3817,0,32.32666667,0.082623645,73.54833333,1.574286082,164,5.059644258,157,172,9.882,0.28903979,9.292,10,1488.333333,59.10555529,1380,Boil
3818,0,32.36333333,0.044572039,73.755,1.314758533,166,4.000000003,162,172,10,0,10,10,1509.666667,26.02818985,1482,Boil
3819,0,32.375,0.027386128,74.09166667,1.508421913,167.3333333,3.723797348,163,172,10,0,10,10,1491.333333,36.8709461,1430,Boil
3820,0,32.37833333,0.021369761,74.495,1.510559499,169.5,4.415880436,163,176,9.997666667,0.005715476,9.986,10,1472.5,35.88732367,1427,Boil
3821,0,32.37166667,0.029268869,75.13833333,1.280022135,170.8333333,3.060501052,167,176,9.843666667,0.376120016,9.076,10,1461,42.65208084,1413,Boil
3822,0,32.34333333,0.0665332,75.12833333,1.284171588,170.1666667,4.262237287,163,176,9.260166667,1.401916747,6.499,10,1431.333333,74.86432172,1304,Boil
3823,0,32.305,0.089610267,74.595,1.538840473,168,6.066300357,159,176,8.553,1.926196667,5.757,10,1397.666667,79.82647848,1304,Boil
3824,0,32.26,0.099599197,74.50333333,1.679924601,166.6666667,6.653319975,159,176,7.651,2.336534185,4.588,10,1323.333333,140.8597411,1062,Boil
3825,0,32.21666667,0.103858879,74.18833333,1.606504487,164.6666667,7.229568914,158,176,6.679833333,2.375569609,4.173,9.986,1269.833333,152.70549,1062,Boil
3826,0,32.17,0.094445752,73.71,1.560897178,162.5,4.63680925,158,171,5.637333333,1.972850594,3.731,9.076,1212.166667,146.6961713,1062,Boil
3827,0,32.125,0.061562976,73.17666667,0.888519368,160.1666667,2.562550817,157,163,4.653166667,1.257582191,3.171,6.499,1154.666667,116.8001142,1062,Boil
3828,0,32.1,0.042895221,72.93666667,0.529779828,159.5,2.167948344,157,163,4.071,1.017852052,3.006,5.757,1114.666667,94.37301874,1062,Boil
3829,0,32.07666667,0.034448028,72.94333333,0.526447212,160,2.366431918,157,163,3.576666667,0.708480816,2.791,4.588,1074,18.70828693,1060,Boil
3830,0,32.05833333,0.029268869,73.03166667,0.410483455,160.5,2.880972062,157,164,3.2365,0.608746828,2.547,4.173,1073,19.61631974,1056,Boil
3831,0,32.04,0.032249031,72.77,0.383457951,160.5,2.880972062,157,164,2.9135,0.520165262,2.235,3.731,1059.666667,17.30510522,1029,Boil
3832,0,32.02166667,0.041673333,72.705,0.43894191,158.5,4.505552133,151,164,2.601333333,0.492736305,1.858,3.171,1047,24.77095073,1005,Boil
3833,0,31.99333333,0.062822501,71.92,1.757646153,156.8333333,6.55489639,147,164,2.3095,0.595646456,1.42,3.006,1036.5,27.31116988,1005,Boil
3834,0,31.95833333,0.069689789,71.07166667,2.18186541,154,8.740709355,142,164,2.020333333,0.610841933,1.271,2.791,989.6666667,103.9955127,783,Boil
3835,0,31.925,0.07609205,69.85,2.970488175,150.6666667,8.891943921,142,164,1.743333333,0.566712155,1.129,2.547,943.5,125.7390154,783,Boil
3836,0,31.89333333,0.067724934,69.10333333,2.643858292,147.5,6.15629759,142,158,1.552166667,0.414377324,1.129,2.235,891.6666667,133.9233612,745,Boil
3837,0,31.87166667,0.048751068,68.59666667,2.196703591,145.6666667,3.444802852,142,151,1.589666667,0.491529314,1.129,2.46,848.3333333,122.1452687,745,Boil
3838,0,31.88166667,0.095376447,64.46833333,2.705900343,118.5,8.068457103,111,130,2.8735,1.368555114,1.769,5.252,700.5,132.5032075,567,Boil
3839,0,31.85333333,0.061860057,64.32166667,2.544668282,116.3333333,5.785038175,111,127,2.553666667,0.812998565,1.769,3.792,685,100.8146815,567,Boil
3840,0,31.83833333,0.041190614,64.32166667,2.544668282,113.6666667,2.804757866,111,117,2.419,0.607904598,1.769,3.333,689.3333333,102.1384681,567,Boil
3841,0,31.83833333,0.041190614,64.92666667,2.578911915,112.6666667,2.422120288,111,117,2.517166667,0.630060129,1.769,3.333,716.1666667,100.4697301,567,Boil
3842,0,31.85333333,0.05573748,65.37833333,2.115338428,112.5,2.588435825,110,117,2.756166667,0.557273153,2.002,3.333,746.1666667,68.95046531,634,Boil
3843,0,31.88666667,0.062503333,65.765,1.744703413,111.6666667,3.444802852,107,117,2.873666667,0.467443972,2.002,3.333,763,43.84974344,726,Boil
3844,0,31.91666667,0.055377492,65.155,1.153737405,110.1666667,4.119061384,105,117,2.985333333,0.244364209,2.672,3.333,756.6666667,49.05778905,709,Boil
3845,0,31.93333333,0.049665548,64.65,1.18355397,107.6666667,3.669695722,102,111,2.7745,0.387941619,2.068,3.203,722.8333333,45.84939113,642,Boil
3846,0,31.95333333,0.036696957,64.30666667,1.743326322,105.5,4.92950302,98,111,2.571666667,0.543472416,1.767,3.203,707.3333333,58.53090352,633,Boil
3847,0,31.965,0.019748418,63.47333333,1.642920164,102.8333333,5.63619257,95,110,2.393166667,0.595713158,1.767,3.203,684.1666667,52.12453037,633,Boil
3848,0,31.975,0.012247449,63.11333333,1.609268985,101,4.516635919,95,107,2.1585,0.478734478,1.767,2.841,667.6666667,43.15398784,633,Boil
3849,0,31.98166667,0.02228602,62.98333333,1.429414799,99.66666667,3.444802852,95,105,2.058833333,0.354306882,1.767,2.672,664.6666667,37.83472832,633,Boil
